nivel,grupo,indicador,resultado,cv
"dist","020602","piso_tierra",.875,0
"dist","020602","agua_red_publica",1,0
"dist","020602","desague_red_publica",0,
"dist","020602","electricidad",1,0
"dist","020602","cocina_lena",1,0
"dist","020606","piso_tierra",1,0
"dist","020606","agua_red_publica",1,0
"dist","020606","desague_red_publica",.375,0
"dist","020606","electricidad",1,0
"dist","020606","cocina_lena",1,0
"dist","020609","piso_tierra",.625,0
"dist","020609","agua_red_publica",.875,0
"dist","020609","desague_red_publica",.875,0
"dist","020609","electricidad",.875,0
"dist","020609","cocina_lena",.875,0
"dist","020611","piso_tierra",.5,0
"dist","020611","agua_red_publica",1,0
"dist","020611","desague_red_publica",.875,0
"dist","020611","electricidad",1,0
"dist","020611","cocina_lena",.875,0
"dist","020701","piso_tierra",.9631215,.042665
"dist","020701","agua_red_publica",.8333675,.0445798
"dist","020701","desague_red_publica",.4520345,.3979929
"dist","020701","electricidad",.940566,.046447
"dist","020701","cocina_lena",.936569,.04348
"dist","020703","piso_tierra",1,0
"dist","020703","agua_red_publica",.875,0
"dist","020703","desague_red_publica",.125,0
"dist","020703","electricidad",.875,0
"dist","020703","cocina_lena",1,0
"dist","020801","piso_tierra",.2200619,.3576117
"dist","020801","agua_red_publica",.7824528,.1965869
"dist","020801","desague_red_publica",.7541997,.2209897
"dist","020801","electricidad",1,0
"dist","020801","cocina_lena",.3281192,.4544632
"dist","020802","piso_tierra",.2365621,.3097947
"dist","020802","agua_red_publica",.9107503,.0643739
"dist","020802","desague_red_publica",.4645019,.7573087
"dist","020802","electricidad",1,0
"dist","020802","cocina_lena",.7946249,.0368907
"dist","020804","piso_tierra",.3333333,0
"dist","020804","agua_red_publica",1,0
"dist","020804","desague_red_publica",1,0
"dist","020804","electricidad",1,0
"dist","020804","cocina_lena",.6666667,0
"dist","020904","piso_tierra",.75,0
"dist","020904","agua_red_publica",.875,0
"dist","020904","desague_red_publica",.125,0
"dist","020904","electricidad",1,0
"dist","020904","cocina_lena",1,0
"dist","021001","piso_tierra",0,
"dist","021001","agua_red_publica",1,0
"dist","021001","desague_red_publica",1,0
"dist","021001","electricidad",1,0
"dist","021001","cocina_lena",.3333333,0
"dist","021003","piso_tierra",1,0
"dist","021003","agua_red_publica",1,0
"dist","021003","desague_red_publica",.375,0
"dist","021003","electricidad",.625,0
"dist","021003","cocina_lena",1,0
"dist","021004","piso_tierra",1,0
"dist","021004","agua_red_publica",.875,1.51e-17
"dist","021004","desague_red_publica",.3227221,.9672891
